Label,Region,Network,NetworkNum
1,schaefer_001,Vis,1
2,schaefer_002,Vis,1
3,schaefer_003,Vis,1
4,schaefer_004,Vis,1
5,schaefer_005,Vis,1
6,schaefer_006,Vis,1
7,schaefer_007,Vis,1
8,schaefer_008,Vis,1
9,schaefer_009,Vis,1
10,schaefer_010,Vis,1
11,schaefer_011,Vis,1
12,schaefer_012,Vis,1
13,schaefer_013,Vis,1
14,schaefer_014,Vis,1
15,schaefer_015,Vis,1
16,schaefer_016,Vis,1
17,schaefer_017,Vis,1
18,schaefer_018,Vis,1
19,schaefer_019,Vis,1
20,schaefer_020,Vis,1
21,schaefer_021,Vis,1
22,schaefer_022,Vis,1
23,schaefer_023,Vis,1
24,schaefer_024,Vis,1
25,schaefer_025,Vis,1
26,schaefer_026,Vis,1
27,schaefer_027,Vis,1
28,schaefer_028,Vis,1
29,schaefer_029,Vis,1
30,schaefer_030,Vis,1
31,schaefer_031,Vis,1
32,schaefer_032,SomMot,2
33,schaefer_033,SomMot,2
34,schaefer_034,SomMot,2
35,schaefer_035,SomMot,2
36,schaefer_036,SomMot,2
37,schaefer_037,SomMot,2
38,schaefer_038,SomMot,2
39,schaefer_039,SomMot,2
40,schaefer_040,SomMot,2
41,schaefer_041,SomMot,2
42,schaefer_042,SomMot,2
43,schaefer_043,SomMot,2
44,schaefer_044,SomMot,2
45,schaefer_045,SomMot,2
46,schaefer_046,SomMot,2
47,schaefer_047,SomMot,2
48,schaefer_048,SomMot,2
49,schaefer_049,SomMot,2
50,schaefer_050,SomMot,2
51,schaefer_051,SomMot,2
52,schaefer_052,SomMot,2
53,schaefer_053,SomMot,2
54,schaefer_054,SomMot,2
55,schaefer_055,SomMot,2
56,schaefer_056,SomMot,2
57,schaefer_057,SomMot,2
58,schaefer_058,SomMot,2
59,schaefer_059,SomMot,2
60,schaefer_060,SomMot,2
61,schaefer_061,SomMot,2
62,schaefer_062,SomMot,2
63,schaefer_063,SomMot,2
64,schaefer_064,SomMot,2
65,schaefer_065,SomMot,2
66,schaefer_066,SomMot,2
67,schaefer_067,SomMot,2
68,schaefer_068,SomMot,2
69,schaefer_069,DorsAttn,3
70,schaefer_070,DorsAttn,3
71,schaefer_071,DorsAttn,3
72,schaefer_072,DorsAttn,3
73,schaefer_073,DorsAttn,3
74,schaefer_074,DorsAttn,3
75,schaefer_075,DorsAttn,3
76,schaefer_076,DorsAttn,3
77,schaefer_077,DorsAttn,3
78,schaefer_078,DorsAttn,3
79,schaefer_079,DorsAttn,3
80,schaefer_080,DorsAttn,3
81,schaefer_081,DorsAttn,3
82,schaefer_082,DorsAttn,3
83,schaefer_083,DorsAttn,3
84,schaefer_084,DorsAttn,3
85,schaefer_085,DorsAttn,3
86,schaefer_086,DorsAttn,3
87,schaefer_087,DorsAttn,3
88,schaefer_088,DorsAttn,3
89,schaefer_089,DorsAttn,3
90,schaefer_090,DorsAttn,3
91,schaefer_091,DorsAttn,3
92,schaefer_092,SalVentAttn,4
93,schaefer_093,SalVentAttn,4
94,schaefer_094,SalVentAttn,4
95,schaefer_095,SalVentAttn,4
96,schaefer_096,SalVentAttn,4
97,schaefer_097,SalVentAttn,4
98,schaefer_098,SalVentAttn,4
99,schaefer_099,SalVentAttn,4
100,schaefer_100,SalVentAttn,4
101,schaefer_101,SalVentAttn,4
102,schaefer_102,SalVentAttn,4
103,schaefer_103,SalVentAttn,4
104,schaefer_104,SalVentAttn,4
105,schaefer_105,SalVentAttn,4
106,schaefer_106,SalVentAttn,4
107,schaefer_107,SalVentAttn,4
108,schaefer_108,SalVentAttn,4
109,schaefer_109,SalVentAttn,4
110,schaefer_110,SalVentAttn,4
111,schaefer_111,SalVentAttn,4
112,schaefer_112,SalVentAttn,4
113,schaefer_113,SalVentAttn,4
114,schaefer_114,Limbic,5
115,schaefer_115,Limbic,5
116,schaefer_116,Limbic,5
117,schaefer_117,Limbic,5
118,schaefer_118,Limbic,5
119,schaefer_119,Limbic,5
120,schaefer_120,Limbic,5
121,schaefer_121,Limbic,5
122,schaefer_122,Limbic,5
123,schaefer_123,Limbic,5
124,schaefer_124,Limbic,5
125,schaefer_125,Limbic,5
126,schaefer_126,Limbic,5
127,schaefer_127,Cont,6
128,schaefer_128,Cont,6
129,schaefer_129,Cont,6
130,schaefer_130,Cont,6
131,schaefer_131,Cont,6
132,schaefer_132,Cont,6
133,schaefer_133,Cont,6
134,schaefer_134,Cont,6
135,schaefer_135,Cont,6
